,pred
241,343117.9537815884
242,1953087.1595325014
243,884148.7323454893
244,890820.1718010259
245,321002.1011797249
246,849088.8952318138
247,1661523.2726464546
248,715208.5079082008
249,454921.5973945698
250,971317.9581970158
251,538453.164225801
252,2021044.151276688
253,832696.4181754761
254,633534.889577763
255,1238168.2145606973
256,1452162.6477871672
257,949589.9331430997
258,708758.2844293215
259,283248.4070332452
260,539501.8474383157
261,927653.1306866056
262,872298.3180948918
263,951423.533704817
264,471129.6339914263
265,1304110.669458989
266,904281.660597364
267,687881.2652721767
268,637927.1552117307
269,785772.6373791976
270,835338.0795232087
271,438487.80332631496
272,724890.1434297943
273,406220.1165698773
274,491122.62499072496
275,822840.8845920287
276,1098442.785706513
277,675384.3008774687
278,1088702.663360585
279,1393260.5522839956
280,875611.9558552929
281,974508.2318826165
282,1304169.3151101596
283,679301.4705553664
284,612320.738297408
285,557991.0566231445
286,641837.2394550235
287,2453281.5773443654
288,1352329.1869082127
289,739730.701221404
290,573581.1031669725
291,1340497.2307832434
292,1984895.157724977
293,627330.3087015657
294,689592.9172341547
295,467862.8897081225
296,996404.5548151354
297,762249.2531156737
298,1371763.4217017153
299,1218944.7111685649
300,390465.74851208524
301,507423.9748348785
302,660985.0396914661
303,2064161.7790235402
304,1077471.093576115
305,2866162.657082422
306,1038132.0851175112
307,911978.3557928088
308,943266.6355880401
309,979631.8372802896
310,593601.9203789968
311,1120932.1760562218
312,1151832.3616597385
313,485109.9665332824
314,1401264.5402494986
315,722772.6765608143
316,983949.8327955779
317,1048327.9988980266
318,1057697.804578462
319,1145993.730935197
320,627065.9900438298
321,1770834.4693234565
322,816136.1892203633
323,742995.2660285535
324,1092783.7121395182
325,527440.6376372939
326,952867.7245088989
327,671418.4840396513
328,738812.2931450063
329,1519412.664056519
330,959162.4465044976
331,1281712.2030460967
332,307417.30982829985
333,2051580.6726584807
334,965087.8198688251
335,826104.8589434177
336,680595.86947577
337,1310975.9690026783
338,837281.7147508163
339,2230003.4941485855
340,1430362.1067643778
341,2749939.5772376065
342,286097.6766470617
343,1455396.7569470655
344,1007045.1626587983
345,554794.4245665075
346,453500.75987331686
347,471418.8225477
348,722057.6173510989
349,1275189.969642975
350,634968.2259832169
351,1637866.170766971
352,689301.0718084702
353,526987.7221644484
354,605705.0461385977
355,3642684.0601433087
356,1239340.8998137186
357,588616.7643355019
358,1568623.779912041
359,925530.8102668608
360,351929.27931368665
361,1392425.0730525027
362,412926.0435593556
363,1050679.9778401216
364,952115.8099128235
365,1268189.963531023
366,1114512.7355591904
367,388684.9376772173
368,1306815.0462266481
369,1155990.9224253776
370,962273.3744573836
371,754365.6938863486
372,1087997.1355869737
373,1164197.264990879
374,1032112.9657545809
375,654047.2647542804
376,1098044.4123450643
377,916727.6323774449
378,540675.5970311229
379,1616636.1297161425
380,1058778.3463719338
381,767963.8613690617
382,785065.2726302604
383,856065.459732887
384,703476.3019711646
385,2100634.475476595
386,879883.8990326737
387,453376.64451079915
388,538629.5426290872
389,510647.375250587
390,1834846.6520414196
391,1089426.0767032078
392,589741.6842948192
393,435790.0363294747
394,856984.7531043886
395,564771.7725947879
396,970842.1246953973
397,470523.73059866676
398,1008285.8363894313
399,1226764.2958145204
400,629611.7230243221
401,905342.9675585395
402,591190.6473180566
403,1174727.282885707
404,1318348.1631768506
405,1364231.807754348
406,1021116.0479435105
407,748360.7209078554
408,1445838.681448538
409,1251248.9920810913
410,875694.165951554
411,2423254.703426305
412,1114655.0034729422
413,599686.8809024338
414,961549.5340168338
415,547752.77630486
416,598761.3832563892
417,656734.9487687614
418,1032166.4467783978
419,1266759.238113731
420,690811.4660962833
421,803633.4716911402
422,2392526.169809253
423,1754051.1623286968
424,1086570.308615883
425,1554181.4466933694
426,1227953.5049440428
427,1101723.2345575634
428,1407912.9056019583
429,541163.2476792377
430,951151.9569120201
431,3270798.0645498885
432,956716.1431993807
433,496242.3981578162
434,552083.7373118796
435,511376.49028508674
436,395658.70200616703
437,998309.7561137212
438,915657.2713224932
439,954147.8157168597
440,1542136.3181936645
441,563100.6479815518
442,815890.1043704583
443,1678603.4616042792
444,357785.60329739464
445,671203.9131943532
446,1267175.9093084552
447,873324.6284096357
448,607282.848916645
449,978361.1512016078
450,899984.0651383767
451,1139836.5957820034
452,1246332.006550352
453,430439.8112397764
454,658715.0203871275
455,859199.994745264
456,510925.8464620084
457,1262683.920384138
458,631731.6008003481
459,335276.8052736547
460,688892.5043475865
461,821817.778089304
462,1125489.4073998365
463,1185646.0788951567
464,406360.26936180267
465,700560.8597421895
466,1008665.2525447585
467,1908142.8008479262
468,1985742.7670514046
469,1072837.0578322299
470,600266.2945365324
471,906048.5909759753
472,1493378.0573224046
473,911706.3356326332
474,803490.0170480794
475,381689.3698777311
476,1130663.559357071
477,757048.4980823257
478,772552.9843488259
479,1840050.616976189
480,498743.81352080347
481,1446360.0307360548
482,2033308.0550170804
483,1919984.2794176403
484,930931.2197835092
485,1031395.8671266725
486,554561.131448184
487,1061675.2708312997
488,725684.834421743
489,774748.507967808
490,1628835.9043570356
491,348796.3033639659
492,680889.1092885713
493,530314.0323608785
494,567769.5130647394
495,641483.3007668102
496,162811.51099944886
497,571213.6626842748
498,290117.9133032316
499,999706.5207743831
500,850176.1391188623
501,1183038.1631748602
502,788033.5019241782
503,1197164.6480693307
504,554759.346446081
505,872656.4786755558
506,695232.7294212844
507,941389.4971485871
508,905146.3715299992
509,898200.5955773769
510,1434144.3670052406
511,777759.9963779112
512,862826.7129531122
513,406925.6197386062
514,391248.38869056274
515,2338854.95629438
516,986202.5572324457
517,867496.63644173
518,886264.3158020456
519,451179.94325882994
520,1334386.978840939
521,760664.3086898681
522,2050560.5774141501
523,681280.5295198358
524,1778033.435972344
525,2396359.523421039
526,465948.7064397379
527,621917.8142949964
528,1538817.5592341654
529,1184373.601642905
530,723350.8712600708
531,598440.3793181624
532,1634882.5767459443
533,1342896.4384092172
534,736620.7582613437
535,838394.5454706199
536,400636.24511971406
537,691130.822812119
538,890163.2429703124
539,1093437.0990207333
540,669258.6384100725
541,1184956.6970746154
542,808026.8816483725
543,1226210.6446083481
544,896323.6923100674
545,483369.7425456573
546,1844172.6314179695
547,1382490.348673863
548,1213397.063829179
549,405226.2779350767
550,601964.6094649895
551,708902.0369703139
552,727491.4985877638
553,1351395.4512619157
554,1364024.302356845
555,475782.94303017086
556,1064340.7884602593
557,1299769.2622042075
558,518246.6688694342
559,1542929.6670589058
560,774449.0075593358
561,814265.9802246414
562,865334.6838418178
563,652045.2288821039
564,1363741.9726636407
565,790496.8329476572
566,603612.7265106421
567,1225972.7487537845
568,850768.0780526373
569,1868576.8700036432
570,1020055.9434806105
571,1249159.0975977392
572,1931410.3924024303
573,889730.3152767493
574,705494.4278774343
575,615137.3354811693
576,637535.6479797567
577,477049.64973622834
578,452106.5442012649
579,400736.7296958579
580,382758.6826903746
581,598412.7371881356
582,865827.0504793496
583,723559.4369343884
584,400094.1732023311
585,395188.5844056427
586,764424.3817666632
587,699258.561532296
588,543838.1254689986
589,1210092.7236323978
590,694675.7781918226
591,1407225.4145826988
592,1651165.2271984457
593,577604.0728854296
594,1021019.9015115004
595,1186586.0896137522
596,1608945.2865063446
597,1930388.9122671525
598,1685738.1224280854
599,1103182.520826599
600,2470206.958309002
601,1407838.376151429
602,334161.6387945941
603,845454.6069634383
604,1037065.2191202319
605,746495.9446343892
606,452072.6846806662
607,1334872.5032211104
608,1088913.7672810392
609,1550800.7548252149
610,486746.0424527228
611,621690.4042294531
612,1011214.3031652864
613,1213781.2432739453
614,442426.0558893123
615,968319.1778411451
616,707331.6781684268
617,1106264.6868474563
618,488718.41267674556
619,1323314.207602961
620,1807715.6714472962
621,826687.5323776123
622,3220636.817988424
623,1476106.862114045
624,847725.6685574733
625,2001468.2368167667
626,925878.023096382
627,1047622.3820210733
628,1697374.9501955581
629,972739.6313788554
630,1005451.8210398995
631,1139670.635270288
632,807773.8105121744
633,1884328.4235770588
634,670458.5413855214
635,716283.2223419978
636,1713741.0877126956
637,645771.5792393122
638,846863.434615968
639,1462881.6459244008
640,800659.3313599935
641,771380.4818773216
642,503208.7989210407
643,739572.4954836221
644,1509163.4628889489
645,1065902.9974129705
646,1018889.6588793284
647,2235691.5345286555
648,459952.1733703856
649,1240084.3182545586
650,1342874.9627209625
651,3441633.9802754023
652,1500415.6033279002
653,1193742.4357476481
654,1255496.2533980845
655,571983.7852916182
656,1232516.696167694
657,438592.989412904
658,2474929.0486181723
659,3308407.437071158
660,1084410.1442913776
661,619545.4525255929
662,1234865.222115467
663,1988712.7759648007
664,511444.8034093753
665,431475.7878218948
666,1827203.6936738167
667,697021.7933428187
668,1265245.4819982213
669,857456.8309920882
670,1900246.88905732
671,795579.3222457423
672,875974.0805629531
673,1459301.4461699012
674,2568021.145320958
675,1674094.9455572544
676,229807.4024011683
677,1407415.725038079
678,273568.5349535686
679,878890.4920973523
680,798824.2626906505
681,1433022.9855762855
682,1687092.5987072375
683,833907.6976209214
684,960489.4437143864
685,632540.5403267922
686,448691.0576661745
687,927325.5282054624
688,1258871.39565721
689,511372.3703120847
690,1631025.4298393563
691,1123111.4873791137
692,757930.2072364073
693,1262632.1892227759
694,957302.9727177451
695,445832.3974568949
696,225318.89840664758
697,384709.471210289
698,520887.0823924971
699,445086.8132697981
700,961503.9021098089
701,586438.514726405
702,2201760.121727668
703,1068676.400554111
704,2381161.2592454716
705,1834704.4911676603
706,991969.4561923322
707,1431089.3739067016
708,1163858.5762639171
709,1752536.8301778582
710,692111.9870236134
711,511008.5488085281
712,1271765.3656213798
713,999666.432488809
714,402688.73988153745
715,1082281.355412025
716,687688.1888299631
717,498601.81052854564
718,1711715.0477592945
719,2195217.131624823
720,2627514.032521002
721,953368.2644288455
722,1040784.805737877
723,791659.625138731
724,625038.3065371964
725,1676236.2055465165
726,516949.60325686703
727,1527724.5475438444
728,514188.7525890146
729,909991.8706729094
730,877057.7609754938
731,823134.7791094469
732,1951117.0777584403
733,1165887.6459710875
734,1838002.5934413436
735,430420.80108861637
736,664324.4258613152
737,3519028.134637043
738,749330.3797550458
739,1046599.5105370111
740,234996.63396914117
741,2129344.541927933
742,1556734.4340504745
743,1620037.3151238759
744,1590367.6898956052
745,842129.1380282642
746,1150856.667505269
747,507728.7752111185
748,655431.2740844685
749,392081.45452759543
750,1210229.166472752
751,789796.1547107281
752,607364.5811100345
753,1940501.7170698075
754,746052.5090849742
755,1095301.3065261843
756,211434.0989492705
757,1374421.4250937216
758,1363669.3054916244
759,1659769.7290540296
760,1025675.3258537018
761,1065160.2590102998
762,1330888.6440949165
763,925734.009129324
764,692949.0212701964
765,677616.4926488864
766,1887274.8486704095
767,648956.3759467837
768,1885493.6982649062
769,765419.5395248428
770,1423713.4502300252
771,636125.2479054646
772,2198762.1211127755
773,1368816.6074675717
774,1032526.0131843052
775,596966.8158121689
776,2618841.8091702117
777,621991.3517648946
778,461800.13368862536
779,1261007.1569184859
780,1303544.694982366
781,774453.7299675937
782,1032312.9166259362
783,608691.4635732551
784,1138545.568308118
785,1239557.3663523921
786,535752.3757518745
787,1381415.7729081817
788,580076.3883374025
789,1055918.1684670215
790,647082.7544882752
791,1892500.8094208853
792,395916.7520352296
793,1062406.3356498836
794,1699163.1675516285
795,1930003.5629577693
796,447002.8831031108
797,2894128.705098093
798,494139.09094017604
799,709712.3523062873
800,807709.1393641653
801,2104085.1680568648
802,883347.7984790351
803,995708.922037159
804,1717640.2270947255
805,1343571.2577332691
806,1071754.8810061922
807,693417.3477371264
808,965463.0715537015
809,1274565.0662011674
810,729531.8772501139
811,944012.9642740666
812,544568.0150733194
813,398590.66981224983
814,1408988.0656681552
815,1120261.2396624805
816,858671.1909788373
817,1407806.0475473204
818,2981992.566058015
819,1384472.3101871307
820,1855101.805145875
821,1248127.6871176413
822,1036925.4663621744
823,1887313.6289104626
824,773215.2022915216
825,982907.9171436531
826,1304978.1686511633
827,501743.85833151615
828,607863.4537396199
829,205897.83080856132
830,1816504.2108079433
831,507899.6783870819
832,821196.1912215172
833,1709312.9820778577
834,981179.7769482483
835,673806.3815871015
836,982120.6268093243
837,788174.2375297035
838,894211.8792531888
839,832831.076549335
840,336549.73908017745
841,737933.7115379123
842,972603.5985330582
843,882181.5600043706
844,488497.3993800914
845,1222173.8621442316
846,685881.2600804819
847,382806.42175081186
848,2770891.8194892555
849,1044978.8552075805
850,682973.1197734347
851,2123562.73164048
852,415710.7791470707
853,759265.6006788281
854,647431.6646395132
855,855655.0355474774
856,1108595.0656207746
857,650766.4434102066
858,661001.1195829603
859,530043.9889684372
860,2520835.5103415456
861,573828.4231355883
862,464858.36963340844
863,706547.2712854985
864,1578137.2301849737
865,528780.2023603645
866,912793.436376496
867,549733.3052397649
868,397442.1069862888
869,494045.2831424726
870,496148.4523935847
871,1081782.3679196385
872,1167593.4632335792
873,1925855.3268819437
874,1574559.772017609
875,1751890.1395051067
876,1023201.337000936
877,1035151.289276455
878,336261.3109173866
879,2056140.6563534092
880,619832.8486682166
881,1171910.83644758
882,957303.8319107257
883,1190081.6581800787
884,595319.511127963
885,3671016.471098675
886,383281.3726044526
887,1397525.347181866
888,2077451.288541116
889,1195249.0905489665
890,613056.8087535963
891,503209.3437497805
892,728166.504951999
893,635156.0867397722
894,714697.4273626474
895,1759715.0181724692
896,2650153.9966680026
897,465697.2875874681
898,250569.25624732018
899,449914.9919195473
900,706620.641518309
901,3045862.255260169
902,560073.9324497201
903,1035585.0437409844
904,2399459.388547816
905,609423.5610459745
906,1046671.6995686842
907,1030409.0482357764
908,1446143.3679181498
909,1014346.089567512
910,1933352.736657355
911,1787491.9063224096
912,479509.7336546836
913,1682901.841000894
914,1026055.2622793919
915,1547855.347427891
916,2309628.556368385
917,1039860.3130481768
918,874075.6991590228
919,413213.4780741508
920,1700974.198748984
921,3046245.927495911
922,798886.263396654
923,658726.0193691382
924,605343.6733136479
925,637344.5174644956
926,957656.9561494405
927,455946.10854262114
928,639908.1817110607
929,944190.1697716472
930,1111300.8546044948
931,575618.625399907
932,1280555.3306559848
933,1020501.2186430324
934,1137938.8741744224
935,726737.9582542966
936,1087377.6986546498
937,930573.4024498519
938,657662.7974882026
939,1424563.3085249127
940,1189869.0482872205
941,638012.2772887684
942,666874.4634746228
943,1319978.6172325178
944,647888.0012469284
945,1432466.2109855528
946,427772.90232303547
947,1657267.2022828155
948,1771283.7151663247
949,2308604.1357130143
950,519215.5293971084
951,2335245.0738219656
952,764376.8438991394
953,666229.5009477966
954,471744.2212496723
955,984698.3910946642
956,1358137.4146522463
957,888529.9744629522
958,492691.49078211177
959,1041385.0575246603
960,609778.074546629
961,1882041.833199453
962,1165020.4958200844
963,1023302.3506920426
964,484529.3601111889
965,2063094.1901901911
966,354917.7629796428
967,2271940.2248329753
968,1203117.8731323793
969,614832.4899319906
970,842578.609560961
971,811188.1927980056
972,545001.5555765837
973,662626.7841841459
974,1199612.5835230704
975,2087076.1125653426
976,547100.9928780074
977,416932.0625626093
978,2268963.9702689857
979,321478.3859579322
980,1131644.9940433912
981,736044.5958977215
982,814973.763917808
983,1339528.5281243687
984,1158732.2780647227
985,981807.0926646102
986,836860.3554822501
987,559102.2730410361
988,1472843.5915440205
989,1764299.088833151
990,4021200.8887422504
991,1196325.9785992445
992,1436833.8777620029
993,1216964.1407205272
994,1100930.52233846
995,965631.2205826548
996,512727.41900534445
997,331892.81340349023
998,618799.0543633833
999,789586.0839159117
1000,1756494.0457166838
1001,1002486.0323230221
1002,1554938.2675640916
1003,1317864.0657498457
1004,1308089.1321073873
1005,1447462.0206103784
1006,369924.37677633716
1007,1583077.856285941
1008,404182.8674635597
1009,907054.7886205048
1010,1461885.7525374196
1011,1412899.9201805873
1012,1105564.857662318
1013,404016.79834191984
1014,977421.6106284349
1015,780418.0492890335
1016,1129793.4959614826
1017,716735.5137153659
1018,694901.3344796258
1019,1373181.7906157088
1020,1849417.9961928655
1021,925379.8673553865
1022,1812011.4066566436
1023,788715.9555324351
1024,644004.140639142
1025,742447.0692146928
1026,554923.3984793782
1027,986542.389909891
1028,636677.195625658
1029,1487858.8216557947
1030,1393283.3866521562
1031,1192338.263078408
1032,2426250.366744252
1033,900912.8273632182
1034,757322.8786464587
1035,892344.6288727626
1036,563292.1438625706
1037,620870.5591239941
1038,628969.4654466108
1039,944821.3602277165
1040,1890564.989946855
1041,1473619.6791234547
1042,632172.68132635
1043,511855.5516755976
1044,596228.6675391459
1045,839247.9336730461
1046,1629903.5336580377
1047,1532170.8760445928
1048,1863580.1358900047
1049,2540997.8310693637
1050,1128717.771166527
1051,504688.315844527
1052,862996.6174345567
1053,379121.6300373484
1054,726003.8250475914
1055,541477.9811852281
1056,822774.5716523249
1057,731708.4052747646
1058,1017428.7650219653
1059,787828.2014471608
1060,544577.8613075139
1061,930379.5570269445
1062,774348.5495545366
1063,707279.2378038989
1064,747941.7568231062
1065,940114.7657737349
1066,2060744.99058563
1067,788921.1248758049
1068,647613.7985620449
1069,687105.537496302
1070,1556306.283602253
1071,580340.9644185305
1072,1142862.043510516
1073,336963.61434332986
1074,458917.98390733945
1075,571572.0724035564
1076,602953.509377312
1077,1604266.609427186
1078,1186717.2441609618
1079,1085249.9986817432
1080,1782784.0616008749
1081,2407918.9828031706
1082,1086855.1247549562
1083,2137473.285273431
1084,2274096.4244984784
1085,938302.0897054849
1086,1081237.509058546
1087,1431332.6048556205
1088,879961.8002539759
1089,1243052.82108508
1090,1290050.4423055076
1091,1492198.4389748862
1092,627497.4558144974
1093,768414.8519318254
1094,1198447.0061203474
1095,273724.09104714205
1096,369380.2676712717
1097,999887.1056401867
1098,360935.8288443405
1099,819092.3727336312
1100,1212501.6190172946
1101,875303.4816451212
1102,888109.4476304473
1103,1141691.082540888
1104,568171.621642074
1105,1214869.133123717
1106,1212459.9578440574
1107,499288.1386996359
1108,753527.082153711
1109,1658992.9128433694
1110,2074401.981243962
1111,797396.1901709232
1112,1033381.9606944902
1113,1286034.4592236322
1114,600196.6889691092
1115,1321475.8782697723
1116,803875.2426698151
1117,1219276.1725335615
1118,514544.4192911491
1119,662898.9548628952
1120,2841014.2474299753
1121,1778118.2721833654
1122,1617606.2031903272
1123,760332.4258071636
1124,373791.0405043642
1125,1420463.3702084983
1126,734311.1250916679
1127,578982.6528390171
1128,2412670.5196068184
1129,1054341.7658604179
1130,875587.079760419
1131,847914.7358492602
1132,485326.9886230246
1133,412840.8089819875
1134,1174343.468818834
1135,921869.9243549142
1136,2182991.6224472695
1137,844551.6402829436
1138,1103163.6307220527
1139,1474446.5722975268
1140,209219.5519968949
1141,882753.3479021466
1142,768003.4660316808
1143,1526038.7078856495
1144,2116901.826672535
1145,1224240.85914016
1146,474369.3626708663
1147,736072.7523991916
1148,1441046.4297365516
1149,489523.2709266397
1150,945960.0624980546
1151,1408717.2923530943
1152,1393657.5711794002
1153,486367.1088341503
1154,627221.3046928188
1155,772263.6992998777
1156,488027.3852382287
1157,930354.1335349814
1158,1124937.0649967163
1159,1042890.2645361153
1160,2191249.515123778
1161,542706.7229906404
1162,782863.6261328738
1163,1609392.9266426144
1164,820535.1812750765
1165,791225.576720244
1166,570232.5511307511
1167,543616.9165986298
1168,683734.0593604462
1169,1364119.44876904
1170,894859.289109842
1171,732495.7578834976
1172,923312.4458846425
1173,884905.0686731319
1174,2142562.220471576
1175,586137.2745436162
1176,851323.4384045536
1177,1334706.4814057916
1178,653629.7945923497
1179,692739.0131000708
1180,578270.0437981628
1181,1024601.4977523338
1182,353381.89461861714
1183,517006.8569766076
1184,649239.5351912384
1185,790160.6915485098
1186,1423999.1939080432
1187,900864.9196540272
1188,384665.21715048346
1189,1625279.8749460557
1190,1874886.6896876032
1191,875046.0213845975
1192,2041652.0897922863
1193,1627133.8039723327
1194,1261688.8534957052
1195,792875.6002112724
1196,1539402.3892058905
1197,253293.31697262745
1198,2045591.2598857477
1199,953009.8002015303
1200,440312.20268054673
1201,588583.531847321
1202,713131.6412108773
1203,892853.9122802574
1204,572602.0735578333
1205,788646.6587816918
1206,1375538.6713046853
1207,1979504.7811851278
1208,889660.3678416763
1209,361291.00814050814
1210,1266729.2377423372
1211,535173.7475025652
1212,1612050.8369674378
1213,476601.8957838573
1214,709397.1374371732
1215,1997074.796370834
1216,802071.870245386
1217,917312.8661520042
1218,695648.6938252976
1219,1352263.3262708113
1220,933640.6316560867
1221,844679.9833056588
1222,1169949.2004853403
1223,477846.73381851986
1224,1402189.4255175479
1225,499580.91645002976
1226,1680593.938192274
1227,1261733.0275395452
1228,1857979.276400002
1229,651117.3053267787
1230,445622.7438411962
1231,1219363.247398368
1232,680828.9289499613
1233,875031.3709838645
1234,894286.9062062702
1235,456847.327833511
1236,1819788.1963505992
1237,673850.265082885
1238,445607.0726448986
1239,1268566.1251805932
1240,2450937.7280429034
1241,889184.7594440788
1242,803777.3915149155
1243,753693.6109257418
1244,645226.3168509568
1245,999191.5178871165
1246,814486.0352392242
1247,980298.3611913527
1248,1156086.3906206824
1249,1496302.8187042074
1250,1281571.9235752185
1251,497668.82516048045
1252,941890.9464926181
1253,1399062.1076316854
1254,1569065.858258714
1255,1164731.7743763342
1256,2996357.419997469
1257,1106117.8521813655
1258,1156280.0786205628
1259,1006312.9713741416
1260,306323.42308813974
1261,692956.6328489798
1262,468152.97882512846
1263,1071162.0621427272
1264,1094917.3304096076
1265,865203.343943387
1266,404835.10142937023
1267,1080647.9069621954
1268,691981.1588499884
1269,860583.8293719653
1270,482759.69479725766
1271,1222848.7470371416
1272,1656098.318440032
1273,823437.0561497799
1274,772815.9069143955
1275,1245319.798701135
1276,1943173.1875680475
1277,925503.6603359097
1278,1391720.8893080442
1279,689460.9218777323
1280,1453072.367845041
1281,531621.5023701021
1282,1310400.4731028578
1283,548908.1983279807
1284,1305299.1562853628
1285,1993219.779825567
1286,1615276.8893191265
1287,828443.7600263559
1288,437876.61380204017
1289,722075.5305773616
1290,252783.70395010815
1291,495801.5072571521
1292,948895.1685550403
1293,526009.0526522433
1294,2362831.336916358
1295,460087.7534677877
1296,1365818.1169379319
1297,585366.7748246043
1298,808199.4938220922
1299,1036307.9197428749
1300,1897780.2270138569
1301,526141.4105571477
1302,546252.576838542
1303,1267652.3194815647
1304,483707.87834662036
1305,579772.8067039307
1306,765140.4497916693
1307,418500.8718286207
1308,1026063.74478042
1309,355527.2295574256
1310,1812037.6045587657
1311,772472.941676748
1312,2859504.7653525225
1313,907746.7239617354
1314,1008027.3026277479
1315,995649.7659698483
1316,564940.0697871541
1317,921979.9241275842
1318,1073627.4060917043
1319,1047131.3857638563
1320,1275058.1264989453
1321,719396.5470306906
1322,641419.5914367753
1323,953110.4339542654
1324,2297229.9290564964
1325,1318049.5548675356
1326,614745.2002797928
1327,1641722.541991418
1328,1078001.9890788791
1329,869521.095464536
